venue_id,remote_id,name,url,start_time,cost,description
,1642248,Allied Health Mini-Career Fair,https://events.ithaca.edu/event/allied_health_mini-career_fair,2019-05-02T11:00:00-04:00,,"Join us for the 2019 Ithaca College Allied Health Mini-Career Fair. This event is an opportunity for you to meet representatives from health related organizations for networking, learning about career options, and full-time job or shadowing opportunities. Click here for more information!"
33,1637363,Campus Center Design Study Town Hall,https://events.ithaca.edu/event/campus_center_design_study_town_hall_2620,2019-05-02T12:00:00-04:00,"","<p>This is an opportunity for the Campus Community to gain insight and provide feedback on the Campus Center Design Study.</p>

<p>***Please note the change in date, time and location for this event.***</p>
"
,1538962,Ithaca Softball vs Clarkson University,https://events.ithaca.edu/event/ithaca_softball_vs_tba,2019-05-02T12:00:00-04:00,,"Ithaca Softball vs Clarkson University
Radio: wicb.org
Streaming Video: https://portal.stretchinternet.com/ithaca/
 https://athletics.ithaca.edu/calendar.aspx?id=9814"
143,1638174,Mindfulness Month - Ongoing Opportunities for Meditation,https://events.ithaca.edu/event/mindfulness_month_-_ongoing_opportunities_for_meditation,2019-05-02T12:00:00-04:00,,"Open Guided Meditation in Muller Chapel 
Every Monday, Wednesday and Friday 
12:00 PM - 12:30 PM | Muller Chapel
Cushions provided, no prior experience required.

Open Meditation at Namgyal Monastery, Institute of Buddhist Studies
Every Monday, Wednesday and Friday 
5:15 PM to 6:00 PM | 201 Tibet Drive, Ithaca (1.6 miles from IC)

Contact: Kati Lustyik, klustyik@ithaca.edu or Julia Lapp, jlapp@ithaca.edu for more information"
,1601786,Workshop 2: All-Star Interviewing,https://events.ithaca.edu/event/workshop_2_all-star_interviewing_4764,2019-05-02T12:10:00-04:00,,"Students learn all aspects of  the interview process, types of interview formats, and how to make the most out of each and every interview experience. Students will learn and begin to apply techniques that will help them to be prepared and confident for every interview they secure, including the development of a personal brand and knowing what employers want. Open to all majors across campus!"
,1648996,Button Making at the IC Library,https://events.ithaca.edu/event/button_making_at_the_ic_library,2019-05-02T13:00:00-04:00,,Make your dream button and take one home! The library will supply images or feel free to bring your own.
,1650220,Ithaca Softball vs RPI vs. Rochester,https://events.ithaca.edu/event/ithaca_softball_vs_rpi_vs_rochester,2019-05-02T14:30:00-04:00,,"Ithaca Softball vs RPI vs. Rochester
Streaming Video: https://portal.stretchinternet.com/ithaca/
 https://athletics.ithaca.edu/calendar.aspx?id=9861"
,1635944,Upper Quad Bash,https://events.ithaca.edu/event/upper_quad_bash,2019-05-02T15:00:00-04:00,"","<p>Are you ready for the most amazing event of the year!!! As a celebration for the end of the year, HHH and BRT is hosting the&nbsp;Upper&nbsp;Quads&nbsp;Bash&nbsp;for all to enjoy. There will be plenty of food from local businesses (Buffalo Wild Wings, Dominoes, and many more...) as well as inflatables, cotton candy, popcorn, henna, and much much more. Once the sun goes down, we will additionally have activities such as a fire with smores and glow in the dark Ultimate Frisbee! Bring your friends! the more the merrier.</p>
"
33,1637363,Campus Center Design Study Town Hall,https://events.ithaca.edu/event/campus_center_design_study_town_hall_2620,2019-05-02T17:30:00-04:00,"","<p>This is an opportunity for the Campus Community to gain insight and provide feedback on the Campus Center Design Study.</p>

<p>***Please note the change in date, time and location for this event.***</p>
"
140,1276286,Piano/String/Wind Chamber Ensembles,https://events.ithaca.edu/event/pianostringwind_chamber_ensembles_6359,2019-05-02T19:00:00-04:00,,"Thursday, 5/2/2019
7:00pm  |  Hockett Family Recital Hall
Piano/String/Wind Chamber Ensembles


Free, open to the public"
38,1276309,Jazz Ensemble with Guest Trombonist Vincent Gardner,https://events.ithaca.edu/event/jazz_ensemble_9061,2019-05-02T20:15:00-04:00,"","Thursday, 5/2/2019
8:15pm  |  Ford Hall
Jazz Ensemble
Mike Titlebaum, director
With Vincent Gardner, guest trombone soloist
Featuring the winning composition in the David P. (’60) and Susan Wohlhueter Composition Contest:  The Kingdom of Aksum by Bobby Spellman.  

This concert will be livestreamed at www.ithaca.edu/music/live and will be available on-demand a few days after the concert.

Free, open to the public"
,1340754,Ithaca Golf vs Liberty League Championships (Opening Round),https://events.ithaca.edu/event/ithaca_golf_vs_liberty_league_championships_opening_round,2019-05-03T08:00:00-04:00,,"Ithaca Golf vs Liberty League Championships (Opening Round)
 https://athletics.ithaca.edu/calendar.aspx?id=9329"
