venue_id,remote_id,name,url,start_time,cost,description
,1642857,Cornell Concert Archives: our vintage concert t-shirt sale!,https://events.ithaca.edu/event/cornell_concert_archives_our_vintage_concert_t-shirt_sale,2019-04-29T10:00:00-04:00,"","<p>Hi There!</p>

<p>Have you been to one of Cornell&#39;s past concerts and want to rep a band you love?</p>

<p><b>Come join us for Concert Archives: our vintage concert t-shirt sale!</b></p>

<p>We&#39;re going to have shirts from your favorite artists ranging from Bob Dylan to Drake for only $5, and all the proceeds will be donated to United Way of Tompkins County.&nbsp;United Way fights for the health, education, and financial stability of every person in every community. Learn more about them here:&nbsp;<a href=""https://nam01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.unitedway.org%2F&amp;data=02%7C01%7Ctmccarthy%40ithaca.edu%7C548bcfd0dcd5470d1fcd08d6be838a25%7Cfa1ac8f65e5448579f0b4aa422c09689%7C0%7C0%7C636905869502495122&amp;sdata=dHjGCb6OOQ%2BKmnNcU9spZNqKQrUnyfTYNWiatLMT178%3D&amp;reserved=0"" rel=""noopener noreferrer"" target=""_blank"">https://www.unitedway.org/</a></p>

<p><b>We will be located in the Memorial Room in Willard Straight Hall on Monday, April 29th from 10am-2pm &amp; Wednesday, May 1st from 10am-1pm.</b></p>

<p>To learn more, RSVP here:<a href=""https://nam01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.facebook.com%2Fevents%2F271995250386009%2F&amp;data=02%7C01%7Ctmccarthy%40ithaca.edu%7C548bcfd0dcd5470d1fcd08d6be838a25%7Cfa1ac8f65e5448579f0b4aa422c09689%7C0%7C0%7C636905869502505127&amp;sdata=CpJagashANHepOaaGAZnbw2NHIKz8Pf8EXkUpXuDkwY%3D&amp;reserved=0"" rel=""noopener noreferrer"" target=""_blank""><b>https://www.facebook.com/events/271995250386009/</b></a></p>

<p>&nbsp;</p>

<p>We hope to see you there!</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>- Campus Activities</p>
"
143,1638174,Mindfulness Month - Ongoing Opportunities for Meditation,https://events.ithaca.edu/event/mindfulness_month_-_ongoing_opportunities_for_meditation,2019-04-29T12:00:00-04:00,,"Open Guided Meditation in Muller Chapel 
Every Monday, Wednesday and Friday 
12:00 PM - 12:30 PM | Muller Chapel
Cushions provided, no prior experience required.

Open Meditation at Namgyal Monastery, Institute of Buddhist Studies
Every Monday, Wednesday and Friday 
5:15 PM to 6:00 PM | 201 Tibet Drive, Ithaca (1.6 miles from IC)

Contact: Kati Lustyik, klustyik@ithaca.edu or Julia Lapp, jlapp@ithaca.edu for more information"
,1601783,Workshop 1: Making Success a Habit,https://events.ithaca.edu/event/workshop_1_making_success_a_habit_5202,2019-04-29T15:00:00-04:00,,"Students learn about current trends, best practices, and tools that enhance communication as the norms of business evolve. These communication techniques will then be put into practice within the framework of creating a personal professional network. This workshop is open to all majors across campus."
,1629121,"Workshop 4 Life After IC Series: Stephen Ritz - We Love to Eat, Let's Do it Right!",https://events.ithaca.edu/event/workshop_4_life_after_ic_series_stephen_ritz_-_we_love_to_eat_lets_do_it_right,2019-04-29T15:00:00-04:00,,Stephen Ritz will discuss sustainability eating and grocery shopping habits to adopt for your life after IC!
,1538952,CANCELLED Ithaca Softball at SUNY Cortland,https://events.ithaca.edu/event/ithaca_softball_at_suny_cortland_6787,2019-04-29T16:30:00-04:00,,"CANCELLED Ithaca Softball at SUNY Cortland
Streaming Video: https://portal.stretchinternet.com/ithaca/
 https://athletics.ithaca.edu/calendar.aspx?id=9804"
140,1276316,Jazz Vocal Repertory Ensemble,https://events.ithaca.edu/event/jazz_vocal_repertory_ensemble_7679,2019-04-29T19:00:00-04:00,,"Monday, 4/29/2019
7:00pm  |  Hockett Family Recital Hall
Jazz Vocal Repertory Ensemble
John White, director
Hannah Martin, graduate assistant director
JOY
Selecctions include Moonglow, Caravan, Fly Me to The Moon,
Blues for Stephanie, All the Things You Are, Take the “A” Train,
Joy, and a world premiere by John W. White:  Wild and Precious Life 

This concert will be livestreamed at www.ithaca.edu/music/live and will be available on-demand a few days after the concert.

Free, open to the public"
26,1637708,"Stephen Ritz: Live, Learn and Earn in a Greener Community",https://events.ithaca.edu/event/stephen_ritz_live_learn_and_earn_in_a_greener_community,2019-04-29T19:00:00-04:00,"","<p>Stephen Ritz, entrepreneur, innovator&nbsp;and visionary, and founder of the Green Bronx Machine will be speaking about how his green teaching methods have changed lives and the community in the South Bronx.</p>
"
,1629122,"Stephen Ritz: Live, Learn and earn in a greener community (2cc)",https://events.ithaca.edu/event/stephen_ritz_live_learn_and_earn_in_a_greener_community_2cc,2019-04-29T19:00:00-04:00,,"Stephen Ritz, entrepreneur, innovator and visionary, and founder of the Green Bronx Machine will be speaking about how his green teaching methods have changed lives and the community in the South Bronx."
38,1276330,Jazz Lab Ensemble,https://events.ithaca.edu/event/jazz_lab_ensemble_499,2019-04-29T20:15:00-04:00,,"Monday, 4/29/2019
8:15pm  |  Ford Hall
Jazz Lab Ensemble
Bill Tiberio, director

This concert will be livestreamed at www.ithaca.edu/music/live and will be available on-demand a few days after the concert.

Free, open to the public"
,1428578,Ithaca Women's Lacrosse vs Liberty League Quarters,https://events.ithaca.edu/event/ithaca_womens_lacrosse_vs_liberty_league_quarters,2019-04-30T00:00:00-04:00,,"Ithaca Women's Lacrosse vs Liberty League Quarters
 https://athletics.ithaca.edu/calendar.aspx?id=9633"
