remote_id,name,url,address,latitude,longitude
7595,104 West!,https://events.cornell.edu/104_west,"104-06 West Ave, Ithaca, NY 14850, USA",42.444309,-76.487877
7596,112 Edgemoor,https://events.cornell.edu/112_edgemoor,"112 Edgemoor Ln, Ithaca, NY 14850, USA",42.444092,-76.488411
7597,116 Maple Ave.,https://events.cornell.edu/116_maple_ave,"120 Maple Ave, Ithaca, NY 14850, USA",42.441414,-76.475868
7598,301 College Ave.,https://events.cornell.edu/301_college_ave,"301 College Avenue, Ithaca, NY 14850, USA",42.440338,-76.485001
7599,309 College Ave (Fire Station #9),https://events.cornell.edu/309_college_ave_fire_station_9,"309 College Ave, Ithaca, NY 14850, USA",42.440815,-76.484978
7600,312 College Ave.,https://events.cornell.edu/312_college_ave,"398 College Ave, Ithaca, NY 14850, USA",42.440895,-76.485329
7601,337 Pine Tree Road,https://events.cornell.edu/337_pine_tree_road,"377 Pine St, Ithaca, NY 14850, USA",42.437923,-76.462708
7602,341 Pine Tree Road,https://events.cornell.edu/341_pine_tree_road,"335 Pine Tree Rd, Ithaca, NY 14850, USA",42.437939,-76.463089
7603,353 Pine Tree Road,https://events.cornell.edu/353_pine_tree_road,"377 Pine St, Ithaca, NY 14850, USA",42.438133,-76.462158
7604,373 Pine Tree Road,https://events.cornell.edu/373_pine_tree_road,"353 Pine Tree Rd, Ithaca, NY 14850, USA",42.43766,-76.46209
7605,377 Pine Tree Road,https://events.cornell.edu/377_pine_tree_road,"377 Pine Tree Road, Ithaca, NY 14850",42.4376,-76.4632
7606,391 Pine Tree Road,https://events.cornell.edu/391_pine_tree_road,"391 Pine Tree Rd, Ithaca, NY 14850, USA",42.439045,-76.465317
7607,395 Pine Tree Road,https://events.cornell.edu/395_pine_tree_road,"395 Pine Tree Rd, Ithaca, NY 14850, USA",42.438965,-76.463196
7585,4-H Acres,https://events.cornell.edu/4-h_acres,"418 Lower Creek Rd, Ithaca, NY 14850, USA",42.473167,-76.419052
7608,410 College Ave.,https://events.cornell.edu/410_college_ave,"410 Thurston Ave, Ithaca, NY 14850, USA",42.453918,-76.484337
7609,726 University Ave.,https://events.cornell.edu/726_university_ave,"726 University Ave, Ithaca, NY 14850, USA",42.449562,-76.488785
7611,A. D. White Gardens,https://events.cornell.edu/a_d_white_gardens,"B07 Tower Rd, Ithaca, NY 14853, USA",42.447803,-76.481888
7612,A. D. White House,https://events.cornell.edu/a_d_white_house,"29 East Ave, Ithaca, NY 14850, USA",42.448277,-76.481995
7615,AAP in Rome,https://events.cornell.edu/aap_in_rome,"Via dei Barbieri, 25, 00186 Rome, Italy",41.895168,12.475513
7613,AAP Ithaca Facility,https://events.cornell.edu/aap_ithaca_facility,"531 Esty St, Ithaca, NY 14850, USA",42.442963,-76.510185
